[2015-12-03T15:01:13Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:13Z]	arcontrol_cli M1402	[TEMP 1:201.0 - TEMP 2:39.1]
[2015-12-03T15:01:18Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:18Z]	arcontrol_cli M1402	[TEMP 1:201.4 - TEMP 2:39.4]
[2015-12-03T15:01:23Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:23Z]	arcontrol_cli M1402	[TEMP 1:202.2 - TEMP 2:39.7]
[2015-12-03T15:01:28Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:28Z]	arcontrol_cli M1402	[TEMP 1:203.5 - TEMP 2:40.0]
[2015-12-03T15:01:33Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:33Z]	arcontrol_cli M1402	[TEMP 1:204.8 - TEMP 2:40.4]
[2015-12-03T15:01:38Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:38Z]	arcontrol_cli M1402	[TEMP 1:206.2 - TEMP 2:40.7]
[2015-12-03T15:01:43Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:43Z]	arcontrol_cli M1402	[TEMP 1:207.6 - TEMP 2:41.0]
[2015-12-03T15:01:48Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:48Z]	arcontrol_cli M1402	[TEMP 1:208.3 - TEMP 2:41.2]
[2015-12-03T15:01:53Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:53Z]	arcontrol_cli M1402	[TEMP 1:208.3 - TEMP 2:41.6]
[2015-12-03T15:01:58Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:58Z]	arcontrol_cli M1402	[TEMP 1:207.6 - TEMP 2:41.8]
[2015-12-03T15:02:03Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:03Z]	arcontrol_cli M1402	[TEMP 1:206.1 - TEMP 2:42.1]
[2015-12-03T15:02:08Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:08Z]	arcontrol_cli M1402	[TEMP 1:204.6 - TEMP 2:42.5]
[2015-12-03T15:02:13Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:13Z]	arcontrol_cli M1402	[TEMP 1:203.0 - TEMP 2:42.8]
